step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_8,community_9,community_13,community_14,community_19,community_21,community_29,community_34,community_36,community_40,community_42,community_46,community_53,community_61,community_63,community_91
118,0.0070,0.0008,0.0097,0.0142,0.0084,0.0000,0.0164,0.0138,0.0058,0.0157,0.0305,0.0197,0.0000,0.0060,0.0212,0.0123,0.0120,0.0038,0.0066,0.0053,0.0089,0.0258,0.0212
119,0.0071,0.0008,0.0097,0.0142,0.0084,0.0000,0.0168,0.0141,0.0058,0.0157,0.0306,0.0200,0.0000,0.0060,0.0213,0.0125,0.0120,0.0038,0.0067,0.0053,0.0089,0.0257,0.0212
120,0.0072,0.0009,0.0097,0.0142,0.0085,0.0000,0.0172,0.0145,0.0058,0.0157,0.0308,0.0203,0.0000,0.0061,0.0213,0.0127,0.0119,0.0038,0.0067,0.0053,0.0089,0.0257,0.0212
121,0.0072,0.0009,0.0097,0.0142,0.0086,0.0000,0.0176,0.0148,0.0058,0.0157,0.0309,0.0206,0.0000,0.0061,0.0213,0.0129,0.0119,0.0038,0.0067,0.0053,0.0090,0.0257,0.0212
122,0.0073,0.0009,0.0097,0.0142,0.0086,0.0000,0.0179,0.0151,0.0059,0.0157,0.0310,0.0210,0.0000,0.0061,0.0213,0.0131,0.0119,0.0038,0.0067,0.0053,0.0090,0.0257,0.0212
123,0.0074,0.0010,0.0098,0.0142,0.0087,0.0000,0.0183,0.0154,0.0059,0.0157,0.0311,0.0213,0.0000,0.0062,0.0214,0.0133,0.0119,0.0038,0.0067,0.0053,0.0090,0.0257,0.0212
124,0.0075,0.0010,0.0098,0.0142,0.0088,0.0000,0.0187,0.0157,0.0059,0.0157,0.0312,0.0216,0.0000,0.0062,0.0214,0.0135,0.0119,0.0038,0.0067,0.0053,0.0091,0.0257,0.0212
125,0.0076,0.0010,0.0098,0.0142,0.0088,0.0000,0.0191,0.0160,0.0059,0.0157,0.0313,0.0219,0.0000,0.0062,0.0214,0.0137,0.0119,0.0038,0.0067,0.0053,0.0091,0.0257,0.0212
126,0.0076,0.0010,0.0098,0.0142,0.0089,0.0000,0.0195,0.0163,0.0060,0.0157,0.0315,0.0222,0.0000,0.0063,0.0214,0.0139,0.0119,0.0038,0.0068,0.0053,0.0091,0.0257,0.0212
127,0.0077,0.0011,0.0098,0.0142,0.0089,0.0000,0.0199,0.0166,0.0060,0.0157,0.0316,0.0224,0.0000,0.0063,0.0214,0.0141,0.0118,0.0038,0.0068,0.0053,0.0091,0.0257,0.0212
128,0.0078,0.0011,0.0098,0.0142,0.0090,0.0000,0.0203,0.0168,0.0060,0.0157,0.0317,0.0227,0.0000,0.0063,0.0214,0.0143,0.0118,0.0038,0.0068,0.0053,0.0092,0.0257,0.0212
129,0.0079,0.0011,0.0098,0.0141,0.0091,0.0000,0.0206,0.0171,0.0061,0.0157,0.0317,0.0230,0.0000,0.0064,0.0215,0.0145,0.0118,0.0038,0.0068,0.0053,0.0092,0.0256,0.0212
130,0.0080,0.0012,0.0098,0.0141,0.0091,0.0000,0.0210,0.0174,0.0061,0.0157,0.0318,0.0233,0.0000,0.0064,0.0215,0.0147,0.0118,0.0038,0.0068,0.0053,0.0092,0.0256,0.0212
131,0.0080,0.0012,0.0098,0.0141,0.0092,0.0000,0.0214,0.0176,0.0061,0.0157,0.0319,0.0235,0.0000,0.0064,0.0215,0.0149,0.0118,0.0038,0.0068,0.0053,0.0093,0.0256,0.0211
132,0.0081,0.0012,0.0098,0.0141,0.0093,0.0000,0.0218,0.0179,0.0061,0.0157,0.0320,0.0238,0.0000,0.0065,0.0215,0.0150,0.0118,0.0038,0.0068,0.0053,0.0093,0.0256,0.0211
133,0.0082,0.0013,0.0098,0.0141,0.0093,0.0000,0.0222,0.0182,0.0062,0.0157,0.0321,0.0240,0.0000,0.0065,0.0215,0.0152,0.0118,0.0038,0.0068,0.0053,0.0093,0.0256,0.0211
134,0.0083,0.0013,0.0098,0.0141,0.0094,0.0000,0.0226,0.0184,0.0062,0.0157,0.0322,0.0243,0.0000,0.0065,0.0215,0.0154,0.0117,0.0038,0.0069,0.0053,0.0093,0.0256,0.0211
135,0.0084,0.0013,0.0098,0.0141,0.0095,0.0000,0.0229,0.0186,0.0062,0.0157,0.0323,0.0245,0.0000,0.0066,0.0216,0.0156,0.0117,0.0038,0.0069,0.0053,0.0094,0.0256,0.0211
136,0.0085,0.0014,0.0098,0.0141,0.0095,0.0000,0.0233,0.0189,0.0063,0.0157,0.0323,0.0247,0.0000,0.0066,0.0216,0.0158,0.0117,0.0038,0.0069,0.0053,0.0094,0.0256,0.0211
137,0.0086,0.0014,0.0098,0.0141,0.0096,0.0000,0.0237,0.0191,0.0063,0.0157,0.0324,0.0249,0.0000,0.0066,0.0216,0.0160,0.0117,0.0038,0.0069,0.0053,0.0094,0.0256,0.0211
138,0.0086,0.0014,0.0098,0.0141,0.0097,0.0000,0.0241,0.0193,0.0063,0.0157,0.0325,0.0252,0.0000,0.0067,0.0216,0.0162,0.0117,0.0038,0.0069,0.0053,0.0095,0.0256,0.0210
139,0.0087,0.0015,0.0098,0.0141,0.0098,0.0000,0.0244,0.0196,0.0063,0.0158,0.0325,0.0254,0.0000,0.0067,0.0216,0.0163,0.0117,0.0038,0.0069,0.0053,0.0095,0.0256,0.0210
140,0.0088,0.0015,0.0098,0.0141,0.0098,0.0000,0.0248,0.0198,0.0064,0.0158,0.0326,0.0256,0.0000,0.0067,0.0216,0.0165,0.0117,0.0037,0.0069,0.0053,0.0095,0.0256,0.0210
141,0.0089,0.0015,0.0098,0.0141,0.0099,0.0000,0.0251,0.0200,0.0064,0.0158,0.0327,0.0257,0.0000,0.0068,0.0216,0.0167,0.0117,0.0037,0.0069,0.0053,0.0095,0.0256,0.0210
142,0.0090,0.0016,0.0098,0.0141,0.0100,0.0000,0.0255,0.0202,0.0064,0.0158,0.0327,0.0259,0.0000,0.0068,0.0217,0.0169,0.0117,0.0037,0.0069,0.0053,0.0096,0.0255,0.0210
143,0.0091,0.0016,0.0098,0.0141,0.0100,0.0000,0.0258,0.0204,0.0065,0.0158,0.0328,0.0261,0.0000,0.0068,0.0217,0.0170,0.0116,0.0037,0.0069,0.0054,0.0096,0.0255,0.0209
144,0.0092,0.0016,0.0098,0.0141,0.0101,0.0000,0.0262,0.0206,0.0065,0.0158,0.0328,0.0263,0.0000,0.0069,0.0217,0.0172,0.0116,0.0037,0.0070,0.0054,0.0096,0.0255,0.0209
145,0.0093,0.0017,0.0098,0.0141,0.0102,0.0000,0.0265,0.0208,0.0065,0.0158,0.0329,0.0265,0.0000,0.0069,0.0217,0.0174,0.0116,0.0037,0.0070,0.0054,0.0096,0.0255,0.0209
146,0.0094,0.0017,0.0098,0.0141,0.0103,0.0000,0.0269,0.0209,0.0065,0.0158,0.0329,0.0266,0.0000,0.0069,0.0217,0.0175,0.0116,0.0037,0.0070,0.0054,0.0097,0.0255,0.0209
147,0.0094,0.0018,0.0098,0.0141,0.0103,0.0000,0.0272,0.0211,0.0066,0.0158,0.0330,0.0268,0.0000,0.0069,0.0217,0.0177,0.0116,0.0037,0.0070,0.0054,0.0097,0.0255,0.0209
148,0.0095,0.0018,0.0098,0.0141,0.0104,0.0000,0.0275,0.0213,0.0066,0.0158,0.0330,0.0269,0.0000,0.0070,0.0217,0.0179,0.0116,0.0037,0.0070,0.0054,0.0097,0.0255,0.0208
149,0.0096,0.0018,0.0098,0.0141,0.0105,0.0000,0.0279,0.0214,0.0066,0.0158,0.0331,0.0271,0.0000,0.0070,0.0217,0.0180,0.0116,0.0037,0.0070,0.0054,0.0097,0.0255,0.0208
150,0.0097,0.0019,0.0098,0.0141,0.0106,0.0000,0.0282,0.0216,0.0067,0.0158,0.0331,0.0272,0.0000,0.0070,0.0218,0.0182,0.0116,0.0037,0.0070,0.0054,0.0097,0.0255,0.0208
151,0.0098,0.0019,0.0098,0.0141,0.0106,0.0000,0.0285,0.0218,0.0067,0.0158,0.0331,0.0273,0.0000,0.0071,0.0218,0.0183,0.0116,0.0037,0.0070,0.0054,0.0098,0.0255,0.0208
152,0.0099,0.0019,0.0098,0.0141,0.0107,0.0000,0.0288,0.0219,0.0067,0.0158,0.0332,0.0275,0.0000,0.0071,0.0218,0.0185,0.0116,0.0037,0.0070,0.0054,0.0098,0.0255,0.0208
153,0.0100,0.0020,0.0098,0.0141,0.0108,0.0000,0.0291,0.0221,0.0068,0.0158,0.0332,0.0276,0.0000,0.0071,0.0218,0.0187,0.0115,0.0037,0.0070,0.0054,0.0098,0.0255,0.0207
154,0.0101,0.0020,0.0098,0.0141,0.0108,0.0000,0.0294,0.0222,0.0068,0.0158,0.0332,0.0277,0.0000,0.0072,0.0218,0.0188,0.0115,0.0037,0.0070,0.0054,0.0098,0.0255,0.0207
155,0.0102,0.0020,0.0098,0.0141,0.0109,0.0000,0.0297,0.0224,0.0068,0.0158,0.0333,0.0278,0.0000,0.0072,0.0218,0.0189,0.0115,0.0037,0.0070,0.0054,0.0099,0.0255,0.0207
156,0.0103,0.0021,0.0098,0.0141,0.0110,0.0000,0.0300,0.0225,0.0068,0.0158,0.0333,0.0279,0.0000,0.0072,0.0218,0.0191,0.0115,0.0037,0.0070,0.0054,0.0099,0.0255,0.0207
157,0.0103,0.0021,0.0098,0.0141,0.0111,0.0000,0.0303,0.0226,0.0069,0.0158,0.0333,0.0280,0.0000,0.0073,0.0218,0.0192,0.0115,0.0037,0.0071,0.0054,0.0099,0.0255,0.0206
158,0.0104,0.0022,0.0098,0.0141,0.0111,0.0000,0.0306,0.0228,0.0069,0.0158,0.0334,0.0281,0.0001,0.0073,0.0218,0.0194,0.0115,0.0037,0.0071,0.0054,0.0099,0.0255,0.0206
159,0.0105,0.0022,0.0098,0.0141,0.0112,0.0000,0.0309,0.0229,0.0069,0.0158,0.0334,0.0282,0.0001,0.0073,0.0218,0.0195,0.0115,0.0037,0.0071,0.0054,0.0099,0.0255,0.0206
160,0.0106,0.0022,0.0098,0.0141,0.0113,0.0000,0.0311,0.0230,0.0070,0.0158,0.0334,0.0283,0.0001,0.0074,0.0218,0.0196,0.0115,0.0037,0.0071,0.0054,0.0100,0.0255,0.0206
161,0.0107,0.0023,0.0098,0.0141,0.0114,0.0000,0.0314,0.0231,0.0070,0.0158,0.0334,0.0283,0.0001,0.0074,0.0219,0.0198,0.0115,0.0037,0.0071,0.0054,0.0100,0.0255,0.0205
162,0.0108,0.0023,0.0098,0.0141,0.0114,0.0000,0.0316,0.0232,0.0070,0.0158,0.0335,0.0284,0.0001,0.0074,0.0219,0.0199,0.0115,0.0037,0.0071,0.0054,0.0100,0.0255,0.0205
163,0.0109,0.0023,0.0098,0.0141,0.0115,0.0000,0.0319,0.0233,0.0070,0.0158,0.0335,0.0285,0.0001,0.0074,0.0219,0.0200,0.0115,0.0037,0.0071,0.0054,0.0100,0.0255,0.0205
164,0.0110,0.0024,0.0098,0.0141,0.0116,0.0000,0.0321,0.0235,0.0071,0.0158,0.0335,0.0286,0.0001,0.0075,0.0219,0.0201,0.0115,0.0037,0.0071,0.0054,0.0101,0.0254,0.0205
165,0.0111,0.0024,0.0098,0.0141,0.0117,0.0000,0.0324,0.0236,0.0071,0.0158,0.0335,0.0286,0.0001,0.0075,0.0219,0.0203,0.0115,0.0037,0.0071,0.0054,0.0101,0.0254,0.0204
166,0.0112,0.0024,0.0098,0.0141,0.0117,0.0000,0.0326,0.0237,0.0071,0.0158,0.0335,0.0287,0.0001,0.0075,0.0219,0.0204,0.0114,0.0037,0.0071,0.0054,0.0101,0.0254,0.0204
167,0.0112,0.0025,0.0098,0.0141,0.0118,0.0000,0.0329,0.0238,0.0072,0.0158,0.0336,0.0287,0.0001,0.0076,0.0219,0.0205,0.0114,0.0037,0.0071,0.0054,0.0101,0.0254,0.0204
168,0.0113,0.0025,0.0098,0.0141,0.0119,0.0000,0.0331,0.0239,0.0072,0.0158,0.0336,0.0288,0.0001,0.0076,0.0219,0.0206,0.0114,0.0037,0.0071,0.0054,0.0101,0.0254,0.0204
169,0.0114,0.0025,0.0098,0.0141,0.0119,0.0000,0.0333,0.0240,0.0072,0.0158,0.0336,0.0288,0.0001,0.0076,0.0219,0.0207,0.0114,0.0037,0.0071,0.0054,0.0101,0.0254,0.0203
170,0.0115,0.0026,0.0098,0.0141,0.0120,0.0000,0.0335,0.0240,0.0072,0.0158,0.0336,0.0289,0.0001,0.0076,0.0219,0.0208,0.0114,0.0037,0.0071,0.0054,0.0102,0.0254,0.0203
171,0.0116,0.0026,0.0098,0.0141,0.0121,0.0000,0.0337,0.0241,0.0073,0.0158,0.0336,0.0289,0.0001,0.0077,0.0219,0.0209,0.0114,0.0037,0.0071,0.0054,0.0102,0.0254,0.0203
172,0.0117,0.0026,0.0098,0.0141,0.0122,0.0000,0.0339,0.0242,0.0073,0.0158,0.0336,0.0290,0.0001,0.0077,0.0219,0.0210,0.0114,0.0037,0.0071,0.0054,0.0102,0.0254,0.0203
173,0.0118,0.0027,0.0098,0.0141,0.0122,0.0000,0.0341,0.0243,0.0073,0.0158,0.0337,0.0290,0.0001,0.0077,0.0219,0.0211,0.0114,0.0037,0.0071,0.0054,0.0102,0.0254,0.0203
174,0.0119,0.0027,0.0098,0.0141,0.0123,0.0000,0.0343,0.0244,0.0073,0.0158,0.0337,0.0291,0.0001,0.0078,0.0219,0.0212,0.0114,0.0037,0.0071,0.0054,0.0102,0.0254,0.0202
175,0.0119,0.0027,0.0098,0.0141,0.0124,0.0000,0.0345,0.0245,0.0074,0.0158,0.0337,0.0291,0.0001,0.0078,0.0219,0.0213,0.0114,0.0037,0.0071,0.0054,0.0103,0.0254,0.0202
176,0.0120,0.0028,0.0098,0.0141,0.0124,0.0000,0.0347,0.0246,0.0074,0.0158,0.0337,0.0291,0.0001,0.0078,0.0219,0.0214,0.0114,0.0037,0.0072,0.0054,0.0103,0.0254,0.0202
177,0.0121,0.0028,0.0098,0.0141,0.0125,0.0000,0.0349,0.0246,0.0074,0.0158,0.0337,0.0291,0.0001,0.0078,0.0220,0.0215,0.0114,0.0037,0.0072,0.0054,0.0103,0.0254,0.0202
178,0.0122,0.0028,0.0098,0.0141,0.0126,0.0000,0.0351,0.0247,0.0075,0.0158,0.0337,0.0292,0.0001,0.0079,0.0220,0.0216,0.0114,0.0037,0.0072,0.0054,0.0103,0.0254,0.0201
